ID Institution,Institution,ID Stage 1a,Stage 1a,ID Stage 1b,Stage 1b,ID Stage 2,Stage 2,Avg efectiveness,Avg overcoming,Avg initiative,Avg integration,Avg improvement,Avg fairness,Avg sned_score
10830,COLEGIO POLITEC.NTRA.SRA.DE LA PRESENTAC,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,54.59027099609375,46.9991340637207,89.81818389892578,91.41666412353516,92.35743713378906,95.52092742919922,66.1798324584961
10831,COLEGIO PARTICULAR MELIPILLA,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,68.66932678222656,46.652870178222656,77.69999694824219,46.08333206176758,92.59259033203125,95.52092742919922,68.3030776977539
10832,COLEGIO POLIVALENTE SAN AGUSTIN,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,66.73597717285156,47.63393020629883,85.86363220214844,82.83333587646484,74.0740737915039,95.52092742919922,69.81938171386719
10833,CENTRO EDUCACIONAL MENESIANO,2,Rural,4,Media rural (con o sin básica),41,Media rural (con o sin básica) grupo 1,63.38390350341797,46.71968078613281,100.0,97.08333587646484,74.0740737915039,96.99400329589844,70.2078857421875
10835,LICEO MUNICIPAL F-N°860,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,56.87989807128906,54.07472610473633,96.80000305175781,79.83333587646484,92.18106842041016,97.058837890625,69.1827163696289
10836,ESCUELA BASICA F-N° 732 CHOROMBO ALTO,2,Rural,3,Básica rural,22,Básica rural grupo 2,62.430599212646484,41.0277214050293,94.43000030517578,69.83333587646484,92.59259033203125,97.12661743164062,66.9642562866211
10837,ESCUELA BASICA F-N°738 LOS RULOS,2,Rural,3,Básica rural,23,Básica rural grupo 3,56.721771240234375,44.18651580810547,94.3499984741211,83.91666412353516,92.59259033203125,97.18600463867188,66.44888305664062
10838,ESCUELA BASICA G-N°733 CHOROMBO BAJO,2,Rural,3,Básica rural,23,Básica rural grupo 3,62.9785041809082,47.9639778137207,97.5,94.16666412353516,100.0,97.17818450927734,70.66949462890625
10839,ESCUELA BASICA G-N°734 LAS MERCEDES,2,Rural,3,Básica rural,22,Básica rural grupo 2,54.9773063659668,45.955326080322266,95.37999725341797,90.58333587646484,92.59259033203125,97.15508270263672,66.6870346069336
10840,ESCUELA BASICA G-N°737 SANTA EMILIA,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,62.389434814453125,50.58521270751953,96.94999694824219,96.25,100.0,97.10466003417969,71.240478515625
10842,ESCUELA BASICA VALLE DE PUANGUE,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,51.95137405395508,45.62539291381836,98.02999877929688,95.58333587646484,92.4096908569336,97.0822982788086,65.86438751220703
